text;text_cleaned_full;manual
D atas video in,ada video justin yg jenifer lg tdur??;atas video inada video justin jenifer tdur;netral
cool tone dia;cool tone;netral
ya kan gua liatin dia pink;gua liatin pink;netral
emang kita yang kenal ka tapi jenifernya yang ga kenal??;emang kenal ka tapi jenifernya kenal;netral
Sama??????;sama;netral
iya lagi;iya lagi;netral
Timephoria sih menurutku yah??;timephoria menurutku;netral
Saran sih kak, mending cobain dulu timephoria karna dia coverage bgt trus menyesuaikan tekstur kulit juga mau kering,oily dll tetap matte dan flawles;saran kak mending cobain dulu timephoria karna coverage menyesuaikan tekstur kulit mau keringoily dll tetap matte flawles;netral
Aku gak pernah coba guele jadi aku gak tau kualitasnya kak??;pernah coba guele tau kualitasnya kak;netral
mayi blonde dpt dr syp sih sbnr ny?;mayi blonde dpt syp sbnr ny;netral
kak, kak justin hubner masuk di lks aku ??;kak kak justin hubner masuk lks;netral
itu poni crop top kak kata mama Jenn????;poni crop top kak kata mama jenn;netral
thimeporia;thimeporia;netral
kok udh gedee sii????;kok gedee sii;netral
di zoom coba kaaa????;zoom coba kaaa;netral
langsung jadi MUA aja mayi ??;langsung mua mayi;netral
translate nyaa??;translate nyaa;netral
tadi kamari nyanyi apa sih;tadi kamari nyanyi apa;netral
ih aku pertama;ih pertama;netral
pencarian gw mayi ngomong inggris;pencarian gw mayi ngomong inggris;netral
SAMA JUSAAA;sama jusaaa;netral
tuh poni lama bgt sh panjangnya ??;tuh poni lama sh panjangnya;netral
sebelum rame,;sebelum rame;netral
madrid or barca mamariiiiiiiii?!;madrid or barca mamariiiiiiiii;netral
Mar gw pantau poni croptop elu blm panjang jg mar????;mar gw pantau poni croptop elu blm panjang mar;netral
Kaya adek kaka??;kaya adek kaka;netral
"poni crop nya belom numbuh""????";poni crop nya belom numbuh;netral
kamari ngambil muka bapak nya ketimbang emaknya;kamari ngambil muka bapak nya ketimbang emaknya;netral
ihh gemas bgtt mayi udah besar??;ihh gemas bgtt mayi besar;netral
kamu sebenarnya putih banget ya till, tapii kamu kalau tanskin lebih menyala auranya ????;sebenarnya putih till tapii kalau tanskin lebih menyala auranya;netral
Mak mintak kata si blonde??;mak mintak kata si blonde;netral
pakek cushion apa kak??;pakek cushion apa kak;netral
jen, kedepannya kamari bakal diajarin bahasa belanda gak jennn.;jen kedepannya kamari bakal diajarin bahasa belanda jennn;netral
mayi mau ngedate ama sapaaa tuhhh?;mayi mau ngedate ama sapaaa tuhhh;netral
kak itu poni kamari dipotong sendiri kah???;kak poni kamari dipotong sendiri kah;netral
hello kamari, aku fans kamu loh;hello kamari fans;netral
mamari mirip banget tau kayak mama nya angel diaz intermiami;mamari mirip tau kayak mama nya angel diaz intermiami;netral
cakep till;cakep till;positif
si blonde makin lucu aja sik???????????;si blonde makin lucu sik;positif
Cushion timephoria emang the bestttt??;cushion timephoria emang the bestttt;positif
HAHAHHA LUCU BGT PAS KAGET GGR MUKA KAMARI CELEMOTAN????;hahahha lucu pas kaget ggr muka kamari celemotan;positif
lucu kamari;lucu kamari;positif
buatin vlog kamari sendiri plisss ??;buatin vlog kamari sendiri plisss;positif
pinter bgttt mayiii??;pinter bgttt mayiii;positif
buat kamari sehat selalu ya buat yang di samping nya terserah;buat kamari sehat selalu buat samping nya terserah;positif
Masya Allah;masya allah;positif
untung dia cakep??;untung cakep;positif
Org cakep mah tetap cantik ya biar mangab ??;org cakep mah tetap cantik biar mangab;positif
mangap aja cakep??;mangap cakep;positif
life must goes on hhhhh??;life must goes on hhhhh;positif
timephoria plisss bagus bgtt??;timephoria plisss bagus bgtt;positif
tapi cocok bngt di mamarii;tapi cocok bngt mamarii;positif
Mayi cantik Kan????;mayi cantik;positif
lucuu tapii kayaaa beda ajaa ??;lucuu tapii kayaaa beda ajaa;positif
gemesnya;gemesnya;positif
blonde alami????;blonde alami;positif
Salfok, itu lemari bajunya rapih banget beresinnya sesuai warna??;salfok lemari bajunya rapih beresinnya sesuai warna;positif
LUCU BGTT MAYII ????;lucu bgtt mayii;positif
"poni nya ga panjang"" ????";poni nya panjang;positif
kamariiiii cantiknyaaaa ???????????;kamariiiii cantiknyaaaa;positif
YAAMPUN MAYIII KM LUCUU BANGETTT;mayiii km lucuu bangettt;positif
kamari fans aku;kamari fans;positif
uda lancar bgt ngomongnyaa ????;lancar ngomongnyaa;positif
kmu juga cantik dek??;kmu cantik dek;positif
gemees banget c mayii??;gemees mayii;positif
mayi kamu g perlu pake bedak...??????udh glowing dr orok??????;mayi perlu pake bedakudh glowing orok;positif
dari neneknya jenifer;neneknya jenifer;positif
GEMES BNR SI MAYII BNR’ YA ALLAH???;gemes bnr si mayii bnr allah;positif
mayi udah pintar ngomong yah, bikin gemes ??;mayi pintar ngomong bikin gemes;positif
"""oke, mayi minta"" gemoy bgt woi??";mayi minta gemoy woi;positif
gemesss bngtt mayiii??????;gemesss bngtt mayiii;positif
Putihan kulitnya drpd cushionnya??;putihan kulitnya drpd cushionnya;positif
""" mayi cantik kan""??????";mayi cantik;positif
"""Pakai bedak??"" tau bgt ih gemesss????";pakai bedak tau ih gemesss;positif
“mayi cantik kan”??;mayi cantik;positif
demi apa pinter banget kamari;demi apa pinter kamari;positif
cantik kan gesss?;cantik gesss;positif
GEMESSS ????;gemesss;positif
"""mah minta"" LUCU BGTT??";mah minta lucu bgtt;positif
"kak gue mimpiin Lo terus tau gak????
gara"" sering nonton kamu";kak gue mimpiin lo terus tau gara sering nonton;positif
Gemesss adekkk...??????;gemesss adekkk;positif
mamari sekarang jdi balik lagi putihhh????????????????;mamari sekarang jdi balik lagi putihhh;positif
Cantik banget jennifer??;cantik jennifer;positif
Lucu banget??????;lucu;positif
LUCU HEH;lucu heh;positif
BOCILKU UDH BISA NGALAHIN EMAKK NYAAA;bocilku bisa ngalahin emakk nyaaa;positif
kamariii sapaaaaa aku plisssss????????;kamariii sapaaaaa plisssss;positif
“MAYII CANTIK KAN??”;mayii cantik;positif
senang deh liat mamari bahagia ????;senang liat mamari bahagia;positif
pasti hasilnya bagus banget;pasti hasilnya bagus;positif
lucu amatt bayikk;lucu amatt bayikk;positif
Mayii dan mama gemaz?;mayii mama gemaz;positif
sehat selalu yh kalian??;sehat selalu yh kalian;positif
"That ""wahh.. duhh..""??";that wahh duhh;positif
Pantesan makin makin rejeki lu till, yang hujat sekebonnn??????;pantesan makin makin rejeki lu till hujat sekebonnn;positif
lancar banget bhs inggris nya??;lancar bhs inggris nya;positif
cute baby ??????;cute baby;positif
jangan pindah ke Belanda plis??;jangan pindah belanda plis;positif
nyanyii apaa mayii??;nyanyii apaa mayii;positif
mayi udah gadis ajaa;mayi gadis ajaa;positif
suka bgtt gw liat kamari ngomong gemesss????;suka bgtt gw liat kamari ngomong gemesss;positif
mayi side 00 nak??;mayi side nak;positif
"""mau mintak""
""mayi cantik kan""
candu banget mayiiii?";mau mintak mayi cantik candu mayiiii;positif
mayi kamu udah geede aja????;mayi geede;positif
Mayiiiiiiiii;mayiiiiiiiii;positif
jeeeeen, hair cutmu namae opooo?;jeeeeen hair cutmu namae opooo;positif
comel bangett sihh mayii??????;comel bangett sihh mayii;positif
mayi tau aja kalo mamanya cantik??;mayi tau kalo mamanya cantik;positif
bare facenya cantik bgt Jen ??;bare facenya cantik jen;positif
gemesnyaaaahhhh;gemesnyaaaahhhh;positif
udh bisa dandan sendiri mayi ??;bisa dandan sendiri mayi;positif
kulit jen keknya mulai memutih lagi balik ke kulit aslinya karena disana ga sepanas bali keknya ????;kulit jen keknya mulai memutih lagi balik kulit aslinya disana sepanas bali keknya;positif
aduh adek mayi pinter bangett;aduh adek mayi pinter bangett;positif
gemes bgtt;gemes bgtt;positif
hah, orang yang mungkin anda kenal????;hah orang mungkin anda kenal;positif
????: mama cantikan???? ????: mayi cantik????;mama cantikan mayi cantik;positif
"""Mayi cantik ga?"" ????";mayi cantik;positif
makin pinter aj lu mayi????????;makin pinter aj lu mayi;positif
lucu??;lucu;positif
Lucukkkkkkk????;lucukkkkkkk;positif
"19 menit yg lalu udh puluhan ribu ?? yg like
sht"" cute girl ??";menit lalu puluhan ribu like sht cute girl;positif
mamari aslina putih tp ko shades cushion nya aga gelap ya . beda ama gw kulit gelap shades cushion pilih lebih putih??;mamari aslina putih ko shades cushion nya aga gelap beda ama gw kulit gelap shades cushion pilih lebih putih;positif
"pinternyaa mayiii????
terlalu lucuu ihhh????";pinternyaa mayiii terlalu lucuu ihhh;positif
"""mayi minta"" arghhhh gemesss bangettt????????????????????????????????";mayi minta arghhhh gemesss bangettt;positif
adek lucuuu amay;adek lucuuu amay;positif
til, mayi buat aku aja so cute ??;til mayi buat so cute;positif
tambah lucu aja Nui bocil, sehat trus kamari??;tambah lucu nui bocil sehat kamari;positif
“Mayi tantikkan” aaa gemezz bgt??;mayi tantikkan aaa gemezz;positif
yaallah kamari??;yaallah kamari;positif
kamari lucuuuuu bangatttttttttt;kamari lucuuuuu bangatttttttttt;positif
lucu bgttt mayi????;lucu bgttt mayi;positif
lucu bgt, poninya miringggg ??????;lucu poninya miringggg;positif
Till, lu bukan kerabat gw, tapi gw rela bela in lu dan debat sama netizen till????, se sayang itu gw sama lu and opkors KAMARII??;till lu bukan kerabat gw tapi gw rela bela in lu debat sama netizen till se sayang gw sama lu and opkors kamarii;positif
JENN KENAPA LUU MAKIN HARI MAKIN GLOWING!!;jenn kenapa luu makin hari makin glowing;positif
til pasti seneng banget ya skrg kamari udh jelas banget ngomongnya??;til pasti seneng skrg kamari jelas ngomongnya;positif
woyyyy Kamari imut kali Lo kau dekk???? MasyaAllah tabarakallah, sehat dan makin pintar ya Kamari;woyyyy kamari imut kali lo kau dekk masyaallah tabarakallah sehat makin pintar kamari;positif
Udah pinter ngomong kamari kawaii;pinter ngomong kamari kawaii;positif
